Java HotSpot(TM) 64-Bit Server VM (24.80-b11) for windows-amd64 JRE (1.7.0_80-b15), built on Apr 10 2015 11:26:34 by "java_re" with unknown MS VC++:1600
Memory: 4k page, physical 8268904k(4380892k free), swap 15871080k(11596280k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:CompileThreshold=100 -XX:+DisableExplicitGC -XX:InitialHeapSize=1610612736 -XX:MaxHeapSize=1610612736 -XX:MaxNewSize=805306368 -XX:MaxPermSize=268435456 -XX:NewSize=805306368 -XX:PermSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=4 -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2017-03-21T08:53:56.381+0800: 59.310: [GC [PSYoungGen: 524288K->58627K(655360K)] 524288K->58651K(1441792K), 0.0635659 secs] [Times: user=0.17 sys=0.02, real=0.06 secs] 
2017-03-21T08:53:58.633+0800: 61.562: [GC [PSYoungGen: 582915K->27427K(655360K)] 582939K->27451K(1441792K), 0.0278297 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2017-03-21T08:53:59.327+0800: 62.256: [GC [PSYoungGen: 551715K->42998K(655360K)] 551739K->43030K(1441792K), 0.0327952 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
2017-03-21T08:54:00.655+0800: 63.584: [GC [PSYoungGen: 567286K->30008K(655360K)] 567318K->30040K(1441792K), 0.0381763 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
2017-03-21T08:54:01.432+0800: 64.361: [GC [PSYoungGen: 554296K->31011K(655360K)] 554328K->31051K(1441792K), 0.0246050 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2017-03-21T08:54:23.721+0800: 86.650: [GC [PSYoungGen: 555299K->57845K(665088K)] 555339K->100396K(1451520K), 0.1408641 secs] [Times: user=0.41 sys=0.08, real=0.14 secs] 
2017-03-21T08:55:18.109+0800: 141.038: [GC [PSYoungGen: 665077K->89571K(696832K)] 707628K->169814K(1483264K), 0.1852724 secs] [Times: user=0.53 sys=0.06, real=0.19 secs] 
2017-03-21T08:56:01.024+0800: 183.954: [GC [PSYoungGen: 696803K->89598K(613888K)] 777046K->285365K(1400320K), 0.1643073 secs] [Times: user=0.53 sys=0.06, real=0.16 secs] 
2017-03-21T08:56:24.430+0800: 207.359: [GC [PSYoungGen: 613886K->131053K(655360K)] 809653K->427398K(1441792K), 0.2384234 secs] [Times: user=0.73 sys=0.03, real=0.24 secs] 
2017-03-21T08:57:15.655+0800: 258.585: [GC [PSYoungGen: 655341K->131071K(655360K)] 951686K->577180K(1441792K), 0.3209811 secs] [Times: user=0.98 sys=0.09, real=0.32 secs] 
2017-03-21T08:57:36.314+0800: 279.243: [GC [PSYoungGen: 655359K->78809K(655360K)] 1101468K->650144K(1441792K), 0.2738708 secs] [Times: user=0.89 sys=0.01, real=0.27 secs] 
2017-03-21T08:57:59.889+0800: 302.818: [GC [PSYoungGen: 603097K->49153K(655360K)] 1174432K->686419K(1441792K), 0.1541787 secs] [Times: user=0.53 sys=0.00, real=0.15 secs] 
2017-03-21T08:58:00.043+0800: 302.972: [Full GC [PSYoungGen: 49153K->0K(655360K)] [ParOldGen: 637265K->232754K(786432K)] 686419K->232754K(1441792K) [PSPermGen: 84773K->84701K(262144K)], 1.0488908 secs] [Times: user=2.89 sys=0.03, real=1.05 secs] 
2017-03-21T08:58:18.063+0800: 320.993: [GC [PSYoungGen: 524288K->131058K(655360K)] 757042K->368456K(1441792K), 0.1126871 secs] [Times: user=0.33 sys=0.00, real=0.11 secs] 
2017-03-21T08:59:08.180+0800: 371.109: [GC [PSYoungGen: 655346K->131040K(655360K)] 892744K->520172K(1441792K), 0.2404838 secs] [Times: user=0.74 sys=0.00, real=0.24 secs] 
2017-03-21T08:59:12.567+0800: 375.496: [GC [PSYoungGen: 655328K->96618K(655360K)] 1044460K->616136K(1441792K), 0.2320678 secs] [Times: user=0.73 sys=0.00, real=0.23 secs] 
2017-03-21T09:00:04.013+0800: 426.943: [GC [PSYoungGen: 620906K->28448K(655360K)] 1140424K->643352K(1441792K), 0.1921174 secs] [Times: user=0.59 sys=0.00, real=0.19 secs] 
2017-03-21T09:00:04.206+0800: 427.135: [Full GC [PSYoungGen: 28448K->0K(655360K)] [ParOldGen: 614904K->209530K(786432K)] 643352K->209530K(1441792K) [PSPermGen: 85198K->85196K(262144K)], 0.4604261 secs] [Times: user=1.08 sys=0.00, real=0.46 secs] 
2017-03-21T09:00:23.033+0800: 445.961: [GC [PSYoungGen: 524288K->131046K(655360K)] 733818K->345726K(1441792K), 0.1875525 secs] [Times: user=0.34 sys=0.00, real=0.19 secs] 
2017-03-21T09:00:51.619+0800: 474.548: [GC [PSYoungGen: 655334K->131047K(655360K)] 870014K->499261K(1441792K), 0.2320140 secs] [Times: user=0.80 sys=0.00, real=0.23 secs] 
2017-03-21T09:01:00.893+0800: 483.822: [GC [PSYoungGen: 655335K->131050K(655360K)] 1023549K->638329K(1441792K), 0.1997589 secs] [Times: user=0.67 sys=0.01, real=0.20 secs] 
2017-03-21T09:01:43.993+0800: 526.921: [GC [PSYoungGen: 655338K->95553K(655360K)] 1162617K->734103K(1441792K), 0.2280520 secs] [Times: user=0.86 sys=0.00, real=0.23 secs] 
2017-03-21T09:01:44.220+0800: 527.150: [Full GC [PSYoungGen: 95553K->0K(655360K)] [ParOldGen: 638549K->693337K(786432K)] 734103K->693337K(1441792K) [PSPermGen: 85206K->85206K(262144K)], 3.2408242 secs] [Times: user=9.56 sys=0.03, real=3.24 secs] 
2017-03-21T09:01:49.707+0800: 532.636: [Full GC [PSYoungGen: 524288K->0K(655360K)] [ParOldGen: 693337K->714786K(786432K)] 1217625K->714786K(1441792K) [PSPermGen: 85207K->85207K(262144K)], 2.1124913 secs] [Times: user=6.25 sys=0.01, real=2.11 secs] 
2017-03-21T09:01:53.867+0800: 536.797: [Full GC [PSYoungGen: 524288K->0K(655360K)] [ParOldGen: 714786K->348088K(786432K)] 1239074K->348088K(1441792K) [PSPermGen: 85207K->85207K(262144K)], 0.8562064 secs] [Times: user=2.70 sys=0.00, real=0.86 secs] 
2017-03-21T09:02:12.632+0800: 555.561: [GC [PSYoungGen: 524288K->102437K(655360K)] 872376K->450526K(1441792K), 0.0955142 secs] [Times: user=0.33 sys=0.00, real=0.10 secs] 
2017-03-21T09:44:11.018+0800: 3073.947: [GC [PSYoungGen: 626725K->13369K(655360K)] 974814K->441070K(1441792K), 0.6461051 secs] [Times: user=0.48 sys=1.25, real=0.65 secs] 
2017-03-21T09:44:20.141+0800: 3083.070: [GC [PSYoungGen: 537657K->8386K(655360K)] 965358K->442451K(1441792K), 0.0505433 secs] [Times: user=0.05 sys=0.01, real=0.05 secs] 
